table,prompt,field,data_type,mmria_path
"", "", MV_LabDate, System.DateTime, ""
OfficeVisits25MV_MedHist_grid, Relevant Medical History, ""
"", "", MV_MHCom, System.String, ""
"", "", MV_MHFind, System.String, ""
OfficeVisits27MV_Meds_grid, Medications, ""
"", "", MV_MedsName, System.String, ""
"", "", MV_MedsDUFD, System.String, ""
"", "", MV_MedsAReact, System.String, ""
"", "", MV_MedsDate, System.DateTime, ""
OfficeVisits26MV_PE_grid, Physical exam, ""
"", "", MV_PEFind, System.String, ""
"", "", MV_PESys1, System.String, ""
"", "", MV_PECom, System.String, ""
OfficeVisits27MV_RF_grid, Referrals and consultations, ""
"", "", MV_RFDate, System.DateTime, ""
"", "", MV_RFSpecialty, System.String, ""
"", "", MV_RFReas, System.String, ""
"", "", MV_RFRecommend, System.String, ""
OfficeVisits25MV_SocHist_grid, Relevant social history, ""
"", "", MV_SHCom, System.String, ""
"", "", MV_SHFind, System.String, ""
OfficeVisits26MV_Techn_grid, Diagnostic imaging and other technology, ""
"", "", MV_TechnType, System.String, ""
"", "", MV_TechnTarget, System.String, ""
"", "", MV_TechnFind, System.String, ""
"", "", MV_TechnDate, System.DateTime, ""
OfficeVisits26MV_Vitalsigns_grid, Vital signs, ""
"", "", MV_VSDate, System.DateTime, ""
"", "", MV_VSTemp, System.Double, ""
"", "", MV_VSRespir, System.Double, ""
"", "", MV_VSSystolic, System.Double, ""
"", "", MV_VSDiastolic, System.Double, ""
"", "", MV_VSPulse, System.Double, ""
OfficeVisits27MV_VSum_grid, Visit summary, ""
"", "", MV_VSAbnFind, System.String, ""
"", "", MV_RecomAP, System.String, ""
PrenatalCareRecord13PC_FamHist_grid, Family medical history, ""
"", "", PC_FHAgeDied, System.Double, ""
"", "", PC_FHRelat, System.String, ""
"", "", PC_FHLive, System.String, ""
"", "", PC_FHCond, System.String, ""
"", "", PC_FHComm, System.String, ""
PrenatalCareRecord16PC_HospER_grid, Were there pre-delivery hospitalizations or ER visits?, ""
"", "", PC_HospERDuration, System.String, ""
"", "", PC_HospERReason, System.String, ""
"", "", PC_HospERCom, System.String, ""
"", "", PC_HospERDate, System.DateTime, ""
"", "", PC_HospERFac, System.String, ""
PrenatalCareRecord13PC_MedHist_grid, Were there pre-existing medical conditions?, ""
"", "", PC_MHCond, System.String, ""
"", "", PC_MHDur, System.String, ""
"", "", PC_MHComm, System.String, ""
PrenatalCareRecord16PC_Meds_grid, List of medications / drugs during pregnancy, ""
"", "", PC_MedsReasn, System.String, ""
"", "", PC_MedsDate, System.DateTime, ""
"", "", PC_MedsDrug, System.String, ""
"", "", PC_MedsReact, System.String, ""
"", "", PC_MedsDose, System.String, ""
PrenatalCareRecord15PC_OthrTest_Grid, Other laboratory tests, ""
"", "", PC_OTCom, System.String, ""
"", "", PC_OTResults, System.String, ""
"", "", PC_OTProc, System.String, ""
"", "", PC_OTDate, System.DateTime, ""
PrenatalCareRecord14PC_PgHist_grid, Pregnancy history, ""
"", "", Gestationalagewks, System.Double, ""
"", "", PC_PHMethDel, System.String, ""
"", "", PC_PHDate, System.DateTime, ""
"", "", PC_PHBWgt, System.Double, ""
"", "", PC_PHOutcome, System.String, ""
"", "", PC_PHCompl, System.String, ""
"", "", PC_PHLBLive, System.String, ""
PrenatalCareRecord15PC_PgProb_Grid, Were there problems identified during the current pregnancy?, ""
"", "", PC_PgProb, System.String, ""
"", "", PC_PgProbCom, System.String, ""
"", "", PC_DtPgProb, System.DateTime, ""
PrenatalCareRecord15PC_PgProc_Grid, Diagnostic procedures, ""
"", "", PC_PgProcedure, System.String, ""
"", "", PC_PgProcCom, System.String, ""
"", "", PC_DtProc, System.DateTime, ""
PrenatalCareRecord16PC_Referrals_Grid, Were there referrals to other medical specialists/subspecialists?, ""
"", "", PC_RefDate, System.String, ""
"", "", PC_RefSpType, System.String, ""
"", "", PC_RefReason, System.String, ""
"", "", PC_RefKept, System.String, ""
PrenatalCareRecord15PC_RMonitor_grid, Routine Monitoring, ""
"", "", PC_SystolicBP, System.Double, ""
"", "", PC_DiastolicBP, System.Double, ""
"", "", PC_UProtein, System.String, ""
"", "", PC_UKetones, System.String, ""
"", "", PC_UGlucose, System.String, ""
"", "", PC_BHct, System.Double, ""
"", "", PC_DWgt, System.Double, ""
"", "", PC_RMDate, System.DateTime, ""
PrenatalCareRecord16PC_Source_grid, Sources of prenatal care information from other than the primary provider (transferred records), ""
"", "", PC_SrcPlace, System.String, ""
"", "", PC_SrcProvType, System.String, ""
"", "", PC_SrcCity, System.String, ""
"", "", State, System.String, ""
"", "", PC_SrcBeginDt, System.DateTime, ""
"", "", PC_SrcEndDt, System.DateTime, ""
PrenatalCareRecord13PC_SubAb_grid, Evidence of Substance Abuse, ""
"", "", PC_SASub, System.String, ""
"", "", PC_SARoute, System.String, ""
"", "", PC_SADur, System.String, ""
"", "", PC_SACom, System.String, ""
"", "", PC_SAEduc, System.String, ""
PrenatalCareRecord13PC_SurgProc_Grid, Prior surgical procedures before this pregnancy?, ""
"", "", PC_DtSurg, System.DateTime, ""
"", "", PC_SurgProc, System.String, ""
"", "", PC_SurgComm, System.String, ""
SocialServicesRecord17SS_HH_grid, Members of household, ""
"", "", SS_HHAge, System.Double, ""
"", "", SS_HHGender, System.String, ""
"", "", SS_HHComm, System.String, ""
"", "", SS_HHRelat, System.String, ""
SocialServicesRecord17SS_Jail_grid, Details of incarcerations, ""
"", "", SS_IncarDate, System.DateTime, ""
"", "", SS_IncarDur, System.String, ""
"", "", SS_IncarReasn, System.String, ""
"", "", SS_IncarComm, System.String, ""
SocialServicesRecord18SS_Refer_grid, Social and medical referrals, ""
"", "", SS_RFDate, System.DateTime, ""
"", "", SS_RFTo, System.String, ""
"", "", SS_RFSpecialty, System.String, ""
"", "", SS_RFReason, System.String, ""
"", "", SS_RFNComp, System.String, ""
"", "", SS_RFComplied, System.String, ""
SocialServicesRecord18SS_Sources_grid, Sources of social services information for this record, ""
"", "", SS_SDate, System.DateTime, ""
"", "", SS_SName, System.String, ""
"", "", SS_SCom, System.String, ""
"", "", SS_SType1, System.String, ""
