table,prompt,field,data_type,mmria_path,
," """"", DC_ICD, System.String,death_certificate/causes_of_death/icd_code,
," """"", DC_CoDInterval, System.Double,death_certificate/causes_of_death/interval,
," """"", DC_CoDUnit, System.String,death_certificate/causes_of_death/interval_unit,
," """"", DC_CoDType, System.String,death_certificate/causes_of_death/cause_type,
," """"", DC_CoDCause, System.String,death_certificate/causes_of_death/cause_description,
Hospitalization22MR_Anesth_grid, Anesthesia," """"",,,
," """"", MR_ANesthMeth, System.String," """"",
," """"", MR_AnesthCompl, System.String," """"",
," """"", MR_AnesthDate, System.DateTime," """"",
Hospitalization22MR_BA_grid, Birth attendant(s)," """"",,,
," """"", MR_BATitle, System.String," """"",
," """"", MR_BAOther, System.String," """"",
," """"", MR_BANPI, System.String," """"",
Hospitalization23MR_BB_grid, Were there any blood or blood product transfusions?," """"",,,
," """"", MR_BBProduct, System.String,er_visit_and_hospital_medical_records/blood_product_grid/product,
," """"", MR_BBNUnits, System.String,er_visit_and_hospital_medical_records/blood_product_grid/number_of_units,
," """"", MR_BBReacComp, System.String,er_visit_and_hospital_medical_records/blood_product_grid/reaction_complications,
," """"", MR_BBDate, System.DateTime,er_visit_and_hospital_medical_records/blood_product_grid/date_and_time,
Hospitalization20MR_ITran_grid, Internal Transfers," """"",,,
," """"", MR_ITranDate, System.DateTime,er_visit_and_hospital_medical_records/internal_transfers/date_and_time,
," """"", MR_ITranFromU, System.String,er_visit_and_hospital_medical_records/internal_transfers/from_unit,
," """"", MR_ITranToU, System.String,er_visit_and_hospital_medical_records/internal_transfers/to_unit,
," """"", MR_ITransComm, System.String,er_visit_and_hospital_medical_records/internal_transfers/comments,
Hospitalization21MR_Lab_grid, Laboratory tests," """"",,,
," """"", MR_LabSpec, System.String,er_visit_and_hospital_medical_records/labratory_tests/specimen,
," """"", MR_LabTest, System.String,er_visit_and_hospital_medical_records/labratory_tests/test_name,
," """"", MR_LabResult, System.String,er_visit_and_hospital_medical_records/labratory_tests/result,
," """"", MR_LabDiagLev, System.String,er_visit_and_hospital_medical_records/labratory_tests/diagnostic_level,
," """"", MR_LabFlag, System.String,er_visit_and_hospital_medical_records/labratory_tests/flag,
," """"", MR_LabDate, System.DateTime,er_visit_and_hospital_medical_records/labratory_tests/date_and_time,
Hospitalization23MR_Meds_grid, List of medications," """"",,,
," """"", MR_MedsName, System.String,er_visit_and_hospital_medical_records/list_of_medications/medication,
," """"", MR_MedsDUFD, System.String,er_visit_and_hospital_medical_records/list_of_medications/dose_frequency_duration,
," """"", MR_MedsAReact, System.String,er_visit_and_hospital_medical_records/list_of_medications/adverse_reaction,
," """"", MR_MedsDate, System.DateTime,er_visit_and_hospital_medical_records/list_of_medications/date_and_time,
Hospitalization21MR_MExam_grid, Psychological examinations and assessments," """"",,,
," """"", MR_MExamAssess, System.String,er_visit_and_hospital_medical_records/psychological_exam_and_assesments/exam_assessments,
," """"", MR_MExamFind, System.String,er_visit_and_hospital_medical_records/psychological_exam_and_assesments/findings,
," """"", MR_MExamBy, System.String,er_visit_and_hospital_medical_records/psychological_exam_and_assesments/performed_by,
," """"", MR_MExamDate, System.DateTime,er_visit_and_hospital_medical_records/psychological_exam_and_assesments/date_and_time,
Hospitalization21MR_Path_grid, Pathology," """"",,,
," """"", MR_PathSpec, System.String,er_visit_and_hospital_medical_records/pathology/exam_assessments,
," """"", MR_PathEType, System.String,er_visit_and_hospital_medical_records/pathology/exam_type,
," """"", MR_PathFind, System.String,er_visit_and_hospital_medical_records/pathology/findings,
," """"", MR_PathDate, System.DateTime,er_visit_and_hospital_medical_records/pathology/date_and_time,
Hospitalization21MR_PExam_grid, Physical examinations and evaluations," """"",,,
," """"", MR_PExamFind, System.String,er_visit_and_hospital_medical_records/physical_exam_and_evaluations/findings,
," """"", MR_PExamBy, System.String,er_visit_and_hospital_medical_records/physical_exam_and_evaluations/performed_by,
," """"", MR_ExamExEv, System.String,er_visit_and_hospital_medical_records/physical_exam_and_evaluations/exam_evaluation,
," """"", MR_PExamDate, System.DateTime,er_visit_and_hospital_medical_records/physical_exam_and_evaluations/date_and_time,
Hospitalization24MR_RF_grid, Referrals and consultations," """"",,,
," """"", MR_RFDate, System.DateTime,er_visit_and_hospital_medical_records/referrals_and_consultations/date,
," """"", MR_RFReas, System.String,er_visit_and_hospital_medical_records/referrals_and_consultations/reason,
," """"", MR_RFRecommend, System.String,er_visit_and_hospital_medical_records/referrals_and_consultations/recommendations,
," """"", MR_RFSpecialty, System.String,er_visit_and_hospital_medical_records/referrals_and_consultations/specialist_type,
Hospitalization23MR_Surg_grid, Were there any surgical procedures?," """"",,,
," """"", MR_SurgHUnit, System.String,er_visit_and_hospital_medical_records/surgical_procedures/hospital_unit,
," """"", MR_SurgProc, System.String,er_visit_and_hospital_medical_records/surgical_procedures/procedure,
," """"", MR_SurgBy, System.String,er_visit_and_hospital_medical_records/surgical_procedures/performed_by,
," """"", MR_SurgOutcome, System.String,er_visit_and_hospital_medical_records/surgical_procedures/outcome,
," """"", MR_SurgDate, System.DateTime,er_visit_and_hospital_medical_records/surgical_procedures/date_and_time,
Hospitalization23MR_Techn_grid, Diagnostic imaging and other technology," """"",,,
," """"", MR_TechnTarget, System.String,er_visit_and_hospital_medical_records/diagnostic_imaging_grid/target,
," """"", MR_TechnFind, System.String,er_visit_and_hospital_medical_records/diagnostic_imaging_grid/finding,
," """"", MR_TechnType, System.String,er_visit_and_hospital_medical_records/diagnostic_imaging_grid/procedure,
," """"", MR_TechnDate, System.DateTime,er_visit_and_hospital_medical_records/diagnostic_imaging_grid/date_and_time,
Hospitalization22MR_Vitalsigns_grid, Vital signs," """"",,,
," """"", MR_VSSystolic, System.Double,er_visit_and_hospital_medical_records/vital_signs/bp_systolic,
," """"", MR_VSPulse, System.Double,er_visit_and_hospital_medical_records/vital_signs/pulse,
," """"", MR_VSRespir, System.Double,er_visit_and_hospital_medical_records/vital_signs/respiration,
," """"", MR_VSTemp, System.Double,er_visit_and_hospital_medical_records/vital_signs/temperature,
," """"", MR_VSDiastolic, System.Double,er_visit_and_hospital_medical_records/vital_signs/bp_diastolic,
," """"", MR_VSDate, System.DateTime,er_visit_and_hospital_medical_records/vital_signs/date_and_time,
OfficeVisits25MV_FamHist_grid, Relevant Family History," """"",,,
," """"", MV_FHCom, System.String,other_medical_office_visits/relevant_family_history/comments,
," """"", MV_FHFind, System.String,other_medical_office_visits/relevant_family_history/finding,
OfficeVisits26MV_Lab_grid, Laboratory tests," """"",,,
," """"", MV_LabSpec, System.String,other_medical_office_visits/laboratory_tests/specimen,
," """"", MV_LabTest, System.String,other_medical_office_visits/laboratory_tests/test_name,
," """"", MV_LabResult, System.String,other_medical_office_visits/laboratory_tests/result,
," """"", MV_LabDiagLev, System.String,other_medical_office_visits/laboratory_tests/diagnostic_level,
," """"", MV_LabFlag, System.String,other_medical_office_visits/laboratory_tests/flag,
," """"", MV_LabDate, System.DateTime,other_medical_office_visits/laboratory_tests/date_and_time,
OfficeVisits25MV_MedHist_grid, Relevant Medical History," """"",,,
," """"", MV_MHCom, System.String,other_medical_office_visits/relevant_medical_history/comments,
," """"", MV_MHFind, System.String,other_medical_office_visits/relevant_medical_history/finding,
OfficeVisits27MV_Meds_grid, Medications," """"",,,
," """"", MV_MedsName, System.String,other_medical_office_visits/medications/medication_name,
," """"", MV_MedsDUFD, System.String,other_medical_office_visits/medications/dose_frequeny_duration,
," """"", MV_MedsAReact, System.String,other_medical_office_visits/medications/adverse_reaction,
," """"", MV_MedsDate, System.DateTime,other_medical_office_visits/medications/date_and_time,
OfficeVisits26MV_PE_grid, Physical exam," """"",,,
," """"", MV_PEFind, System.String,other_medical_office_visits/physical_exam/finding,
," """"", MV_PESys1, System.String,other_medical_office_visits/physical_exam/body_system,
," """"", MV_PECom, System.String,other_medical_office_visits/physical_exam/comment,
OfficeVisits27MV_RF_grid, Referrals and consultations," """"",,,
," """"", MV_RFDate, System.DateTime,other_medical_office_visits/referrals_and_consultations/date,
," """"", MV_RFSpecialty, System.String,other_medical_office_visits/referrals_and_consultations/speciality,
," """"", MV_RFReas, System.String,other_medical_office_visits/referrals_and_consultations/reason,
," """"", MV_RFRecommend, System.String,other_medical_office_visits/referrals_and_consultations/recommendations,
OfficeVisits25MV_SocHist_grid, Relevant social history," """"",,,
," """"", MV_SHCom, System.String,other_medical_office_visits/relevant_social_history/comments,
," """"", MV_SHFind, System.String,other_medical_office_visits/relevant_social_history/finding,
OfficeVisits26MV_Techn_grid, Diagnostic imaging and other technology," """"",,,
," """"", MV_TechnType, System.String,other_medical_office_visits/diagnostic_imaging_and_other_technology/technology_type,
," """"", MV_TechnTarget, System.String,other_medical_office_visits/diagnostic_imaging_and_other_technology/target_procedure,
," """"", MV_TechnFind, System.String,other_medical_office_visits/diagnostic_imaging_and_other_technology/finding,
," """"", MV_TechnDate, System.DateTime,other_medical_office_visits/diagnostic_imaging_and_other_technology/date_and_time,
OfficeVisits26MV_Vitalsigns_grid, Vital signs," """"",,,
," """"", MV_VSDate, System.DateTime,other_medical_office_visits/vital_signs/date_and_time,
," """"", MV_VSTemp, System.Double,other_medical_office_visits/vital_signs/temperature,
," """"", MV_VSRespir, System.Double,other_medical_office_visits/vital_signs/respiration,
," """"", MV_VSSystolic, System.Double,other_medical_office_visits/vital_signs/bp_systolic,
," """"", MV_VSDiastolic, System.Double,other_medical_office_visits/vital_signs/bp_diastolic,
," """"", MV_VSPulse, System.Double,other_medical_office_visits/vital_signs/pulse,
OfficeVisits27MV_VSum_grid, Visit summary," """"",,,
," """"", MV_VSAbnFind, System.String,other_medical_office_visits/new_grid/abnormal_findings,
," """"", MV_RecomAP, System.String,other_medical_office_visits/new_grid/recommendations_and_action_plans,
PrenatalCareRecord13PC_FamHist_grid, Family medical history," """"",,,
," """"", PC_FHAgeDied, System.Double,prenatal/family_medical_history/age_at_death,
," """"", PC_FHRelat, System.String,prenatal/family_medical_history/relation,
," """"", PC_FHLive, System.String,prenatal/family_medical_history/is_living,
," """"", PC_FHCond, System.String,prenatal/family_medical_history/condition,
," """"", PC_FHComm, System.String,prenatal/family_medical_history/comments,
PrenatalCareRecord16PC_HospER_grid, Were there pre-delivery hospitalizations or ER visits?," """"",,,
," """"", PC_HospERDuration, System.String," """"",
," """"", PC_HospERReason, System.String," """"",
," """"", PC_HospERCom, System.String," """"",
," """"", PC_HospERDate, System.DateTime," """"",
," """"", PC_HospERFac, System.String," """"",
PrenatalCareRecord13PC_MedHist_grid, Were there pre-existing medical conditions?," """"",,,
," """"", PC_MHCond, System.String,prenatal/pre_existing_conditons_grid/condition,
," """"", PC_MHDur, System.String,prenatal/pre_existing_conditons_grid/duration,
," """"", PC_MHComm, System.String,prenatal/pre_existing_conditons_grid/comments,
PrenatalCareRecord16PC_Meds_grid, List of medications / drugs during pregnancy," """"",,,
," """"", PC_MedsReasn, System.String,prenatal/medications_and_drugs_during_pregnancy/reason,
," """"", PC_MedsDate, System.DateTime,prenatal/medications_and_drugs_during_pregnancy/date,
," """"", PC_MedsDrug, System.String,prenatal/medications_and_drugs_during_pregnancy/medication,
," """"", PC_MedsReact, System.String,prenatal/medications_and_drugs_during_pregnancy/is_adverse_reaction,
," """"", PC_MedsDose, System.String,prenatal/medications_and_drugs_during_pregnancy/dose_frequency_duration,
PrenatalCareRecord15PC_OthrTest_Grid, Other laboratory tests," """"",,,
," """"", PC_OTCom, System.String,prenatal/other_lab_tests/comments,
," """"", PC_OTResults, System.String,prenatal/other_lab_tests/results,
," """"", PC_OTProc, System.String,prenatal/other_lab_tests/test_or_procedure,
," """"", PC_OTDate, System.DateTime,prenatal/other_lab_tests/date_and_time,
PrenatalCareRecord14PC_PgHist_grid, Pregnancy history," """"",,,
," """"", Gestationalagewks, System.Double,prenatal/pregnancy_history/details_grid/gestational_age,
," """"", PC_PHMethDel, System.String,prenatal/pregnancy_history/details_grid/method_of_delivery,
," """"", PC_PHDate, System.DateTime,prenatal/pregnancy_history/details_grid/date_ended,
," """"", PC_PHBWgt, System.Double,prenatal/pregnancy_history/details_grid/birth_weight,
," """"", PC_PHOutcome, System.String,prenatal/pregnancy_history/details_grid/outcome,
," """"", PC_PHCompl, System.String,prenatal/pregnancy_history/details_grid/complications,
," """"", PC_PHLBLive, System.String,prenatal/pregnancy_history/details_grid/is_now_living,
PrenatalCareRecord15PC_PgProb_Grid, Were there problems identified during the current pregnancy?," """"",,,
," """"", PC_PgProb, System.String,prenatal/problems_identified_grid/problem,
," """"", PC_PgProbCom, System.String,prenatal/problems_identified_grid/comments,
," """"", PC_DtPgProb, System.DateTime,prenatal/problems_identified_grid/date_1st_noted,
PrenatalCareRecord15PC_PgProc_Grid, Diagnostic procedures," """"",,,
," """"", PC_PgProcedure, System.String,prenatal/diagnostic_procedures/procedure,
," """"", PC_PgProcCom, System.String,prenatal/diagnostic_procedures/comments,
," """"", PC_DtProc, System.DateTime,prenatal/diagnostic_procedures/date,
PrenatalCareRecord16PC_Referrals_Grid, Were there referrals to other medical specialists/subspecialists?," """"",,,
," """"", PC_RefDate, System.String,prenatal/medical_referrals/date,
," """"", PC_RefSpType, System.String,prenatal/medical_referrals/type_of_specialist ,
," """"", PC_RefReason, System.String,prenatal/medical_referrals/reason,
," """"", PC_RefKept, System.String,prenatal/medical_referrals/was_appointment_kept,
PrenatalCareRecord15PC_RMonitor_grid, Routine Monitoring," """"",,,
," """"", PC_SystolicBP, System.Double,prenatal/routine_monitoring/systolic_bp,
," """"", PC_DiastolicBP, System.Double,prenatal/routine_monitoring/diastolic,
," """"", PC_UProtein, System.String,prenatal/routine_monitoring/urine_protein,
," """"", PC_UKetones, System.String,prenatal/routine_monitoring/urine_ketones,
," """"", PC_UGlucose, System.String,prenatal/routine_monitoring/urine_glucose,
," """"", PC_BHct, System.Double,prenatal/routine_monitoring/blood_hematocrit,
," """"", PC_DWgt, System.Double,prenatal/routine_monitoring/weight,
," """"", PC_RMDate, System.DateTime,prenatal/routine_monitoring/date_and_time,
PrenatalCareRecord16PC_Source_grid, Sources of prenatal care information from other than the primary provider (transferred records)," """"",,,
," """"", PC_SrcPlace, System.String,prenatal/other_sources_of_prenatal_care/place,
," """"", PC_SrcProvType, System.String,prenatal/other_sources_of_prenatal_care/provider_type,
," """"", PC_SrcCity, System.String,prenatal/other_sources_of_prenatal_care/city,
," """"", State, System.String,prenatal/other_sources_of_prenatal_care/state,
," """"", PC_SrcBeginDt, System.DateTime,prenatal/other_sources_of_prenatal_care/begin_date,
," """"", PC_SrcEndDt, System.DateTime,prenatal/other_sources_of_prenatal_care/end_date,
PrenatalCareRecord13PC_SubAb_grid, Evidence of Substance Abuse," """"",,,
," """"", PC_SASub, System.String,prenatal/substance_use_grid/substance,
," """"", PC_SARoute, System.String," """"",
," """"", PC_SADur, System.String," """"",
," """"", PC_SACom, System.String,prenatal/substance_use_grid/comments,
," """"", PC_SAEduc, System.String,prenatal/substance_use_grid/couseling_education,
PrenatalCareRecord13PC_SurgProc_Grid, Prior surgical procedures before this pregnancy?," """"",,,
," """"", PC_DtSurg, System.DateTime,prenatal/prior_surgical_procedures_before_pregnancy/date,
," """"", PC_SurgProc, System.String,prenatal/prior_surgical_procedures_before_pregnancy/procedure,
," """"", PC_SurgComm, System.String,prenatal/prior_surgical_procedures_before_pregnancy/comments,
SocialServicesRecord17SS_HH_grid, Members of household," """"",,,
," """"", SS_HHAge, System.Double,social_and_environmental_profile/members_of_household/age,
," """"", SS_HHGender, System.String,social_and_environmental_profile/members_of_household/gender,
," """"", SS_HHComm, System.String,social_and_environmental_profile/members_of_household/comments,
," """"", SS_HHRelat, System.String,social_and_environmental_profile/members_of_household/relationship,
SocialServicesRecord17SS_Jail_grid, Details of incarcerations," """"",,,
," """"", SS_IncarDate, System.DateTime,social_and_environmental_profile/details_of_incarcerations/date,
," """"", SS_IncarDur, System.String,social_and_environmental_profile/details_of_incarcerations/duration,
," """"", SS_IncarReasn, System.String,social_and_environmental_profile/details_of_incarcerations/reason,
," """"", SS_IncarComm, System.String,social_and_environmental_profile/details_of_incarcerations/comments,
SocialServicesRecord18SS_Refer_grid, Social and medical referrals," """"",,,
," """"", SS_RFDate, System.DateTime,social_and_environmental_profile/social_and_medical_referrals/date,
," """"", SS_RFTo, System.String,social_and_environmental_profile/social_and_medical_referrals/referred_to,
," """"", SS_RFSpecialty, System.String,social_and_environmental_profile/social_and_medical_referrals/specialty,
," """"", SS_RFReason, System.String,social_and_environmental_profile/social_and_medical_referrals/reason,
," """"", SS_RFNComp, System.String,social_and_environmental_profile/social_and_medical_referrals/reason_for_non_compliance,
," """"", SS_RFComplied, System.String,social_and_environmental_profile/social_and_medical_referrals/compiled,
SocialServicesRecord18SS_Sources_grid, Sources of social services information for this record," """"",,,
," """"", SS_SDate, System.DateTime,social_and_environmental_profile/sources_of_social_services_information_for_this_record/date,
," """"", SS_SName, System.String,social_and_environmental_profile/sources_of_social_services_information_for_this_record/source_name,
," """"", SS_SCom, System.String,social_and_environmental_profile/sources_of_social_services_information_for_this_record/comments,
," """"", SS_SType1, System.String,social_and_environmental_profile/sources_of_social_services_information_for_this_record/element,
