OBS,Path,BaseTable,DataTablePath,f.Name,prompttext,ft.Name,DataType,mmria_path,value1,value2,mmria_value,MMRIA Group Name,Comments
72,ChildBirthCertificate9.PO_BDoB,ChildBirthCertificate,ChildBirthCertificate9,PO_BDoB,Date of delivery*,Date,Date,,,,,,
73,ChildBirthCertificate9.PO_BDoB_flag,ChildBirthCertificate,ChildBirthCertificate9,PO_BDoB_flag,Estimate,Checkbox,Boolean,,,,,,
74,ChildBirthCertificate9.PO_BFName,ChildBirthCertificate,ChildBirthCertificate9,PO_BFName,First name,Text,Text,birth_certificate_infant_fetal_section/record_identification/first_name,,,,,
75,ChildBirthCertificate9.PO_BLName,ChildBirthCertificate,ChildBirthCertificate9,PO_BLName,Last name,Text,Text,birth_certificate_infant_fetal_section/record_identification/last_name,,,,,
76,ChildBirthCertificate9.PO_BMedRecNo,ChildBirthCertificate,ChildBirthCertificate9,PO_BMedRecNo,Newborn medical record no.,Text,Text,birth_certificate_infant_fetal_section/record_identification/newborn_medical_record_number,,,,,
77,ChildBirthCertificate9.PO_BMName,ChildBirthCertificate,ChildBirthCertificate9,PO_BMName,Middle name,Text,Text,birth_certificate_infant_fetal_section/record_identification/middle_name,,,,,
78,ChildBirthCertificate9.PO_BOrder,ChildBirthCertificate,ChildBirthCertificate9,PO_BOrder,Birth order,Number,Number,birth_certificate_infant_fetal_section/birth_order,,,,,
79,ChildBirthCertificate9.PO_Breast,ChildBirthCertificate,ChildBirthCertificate9,PO_Breast,Is infant being breastfed at discharge?,Legal Values,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/is_infant_being_breastfed_at_discharge,,,(blank),,
80,ChildBirthCertificate9.PO_Breast,ChildBirthCertificate,ChildBirthCertificate9,PO_Breast,Is infant being breastfed at discharge?,Legal Values,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/is_infant_being_breastfed_at_discharge,1,1 - Yes,Yes,,
81,ChildBirthCertificate9.PO_Breast,ChildBirthCertificate,ChildBirthCertificate9,PO_Breast,Is infant being breastfed at discharge?,Legal Values,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/is_infant_being_breastfed_at_discharge,2,2 - No,No,,
82,ChildBirthCertificate9.PO_Breast,ChildBirthCertificate,ChildBirthCertificate9,PO_Breast,Is infant being breastfed at discharge?,Legal Values,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/is_infant_being_breastfed_at_discharge,9,9 - Not specified,Not Specified,,
83,ChildBirthCertificate9.PO_BWgrams,ChildBirthCertificate,ChildBirthCertificate9,PO_BWgrams,grams,Checkbox,Boolean,birth_certificate_infant_fetal_section/biometrics_and_demographics/birth_weight/unit_of_measurement,grams,,Grams,birth_certificate_infant_fetal_section/biometrics_and_demographics/birth_weight/value_unit,
84,ChildBirthCertificate9.PO_BWgt,ChildBirthCertificate,ChildBirthCertificate9,PO_BWgt,Birth weight*,Number,Number,birth_certificate_infant_fetal_section/biometrics_and_demographics/birth_weight/grams_or_pounds,,,,,
85,ChildBirthCertificate9.PO_BWgtOz,ChildBirthCertificate,ChildBirthCertificate9,PO_BWgtOz,oz,Number,Number,birth_certificate_infant_fetal_section/biometrics_and_demographics/birth_weight/ounces,,,,birth_certificate_infant_fetal_section/biometrics_and_demographics/birth_weight/value_unit,
86,ChildBirthCertificate9.PO_BWlbs,ChildBirthCertificate,ChildBirthCertificate9,PO_BWlbs,lbs,Checkbox,Boolean,birth_certificate_infant_fetal_section/biometrics_and_demographics/birth_weight/unit_of_measurement,lbs,,Pounds/Ounces,birth_certificate_infant_fetal_section/biometrics_and_demographics/birth_weight/value_unit,
87,ChildBirthCertificate9.PO_DelMeth,ChildBirthCertificate,ChildBirthCertificate9,PO_DelMeth,D. Final route and method of delivery*,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/final_route_and_method_of_delivery,,,(blank),,
88,ChildBirthCertificate9.PO_DelMeth,ChildBirthCertificate,ChildBirthCertificate9,PO_DelMeth,D. Final route and method of delivery*,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/final_route_and_method_of_delivery,Vaginal / Spontaneous,,Vaginal/Spontaneous,,
89,ChildBirthCertificate9.PO_DelMeth,ChildBirthCertificate,ChildBirthCertificate9,PO_DelMeth,D. Final route and method of delivery*,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/final_route_and_method_of_delivery,Vaginal / Forceps,,Vaginal/Forceps,,
90,ChildBirthCertificate9.PO_DelMeth,ChildBirthCertificate,ChildBirthCertificate9,PO_DelMeth,D. Final route and method of delivery*,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/final_route_and_method_of_delivery,Vaginal / Vacuum,,Vaginal/Vacuum,,
91,ChildBirthCertificate9.PO_DelMeth,ChildBirthCertificate,ChildBirthCertificate9,PO_DelMeth,D. Final route and method of delivery*,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/final_route_and_method_of_delivery,Cesarean,,Cesarean,,
92,ChildBirthCertificate9.PO_DelMeth,ChildBirthCertificate,ChildBirthCertificate9,PO_DelMeth,D. Final route and method of delivery*,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/final_route_and_method_of_delivery,Other,,Other,,
93,ChildBirthCertificate9.PO_DelMeth,ChildBirthCertificate,ChildBirthCertificate9,PO_DelMeth,D. Final route and method of delivery*,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/final_route_and_method_of_delivery,Not specified,,Not Specified,,
94,ChildBirthCertificate9.PO_FetPres,ChildBirthCertificate,ChildBirthCertificate9,PO_FetPres,C. Fetal presentation at birth,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/fetal_delivery,,,(blank),,
95,ChildBirthCertificate9.PO_FetPres,ChildBirthCertificate,ChildBirthCertificate9,PO_FetPres,C. Fetal presentation at birth,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/fetal_delivery,Cephalic,,Cephalic,,
96,ChildBirthCertificate9.PO_FetPres,ChildBirthCertificate,ChildBirthCertificate9,PO_FetPres,C. Fetal presentation at birth,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/fetal_delivery,Breech,,Breech,,
97,ChildBirthCertificate9.PO_FetPres,ChildBirthCertificate,ChildBirthCertificate9,PO_FetPres,C. Fetal presentation at birth,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/fetal_delivery,Shoulder,,Shoulder,,
98,ChildBirthCertificate9.PO_FetPres,ChildBirthCertificate,ChildBirthCertificate9,PO_FetPres,C. Fetal presentation at birth,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/fetal_delivery,Compound,,Compound,,
99,ChildBirthCertificate9.PO_FetPres,ChildBirthCertificate,ChildBirthCertificate9,PO_FetPres,C. Fetal presentation at birth,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/fetal_delivery,Other,,Other,,
100,ChildBirthCertificate9.PO_FetPres,ChildBirthCertificate,ChildBirthCertificate9,PO_FetPres,C. Fetal presentation at birth,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/fetal_delivery,Unknown,,Unknown,,
101,ChildBirthCertificate9.PO_FetPres,ChildBirthCertificate,ChildBirthCertificate9,PO_FetPres,C. Fetal presentation at birth,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/fetal_delivery,Not specified,,Not Specified,,
102,ChildBirthCertificate9.PO_Forceps,ChildBirthCertificate,ChildBirthCertificate9,PO_Forceps,A. Was delivery with forceps attempted but unsuccessful?,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/was_delivery_with_forceps_attempted_but_unsuccessful,,,(blank),,
103,ChildBirthCertificate9.PO_Forceps,ChildBirthCertificate,ChildBirthCertificate9,PO_Forceps,A. Was delivery with forceps attempted but unsuccessful?,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/was_delivery_with_forceps_attempted_but_unsuccessful,1,1 - Yes,Yes,,
104,ChildBirthCertificate9.PO_Forceps,ChildBirthCertificate,ChildBirthCertificate9,PO_Forceps,A. Was delivery with forceps attempted but unsuccessful?,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/was_delivery_with_forceps_attempted_but_unsuccessful,2,2 - No,No,,
105,ChildBirthCertificate9.PO_Forceps,ChildBirthCertificate,ChildBirthCertificate9,PO_Forceps,A. Was delivery with forceps attempted but unsuccessful?,Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/was_delivery_with_forceps_attempted_but_unsuccessful,9,9 - Not specified,Not Specified,,
106,ChildBirthCertificate9.PO_InfTrans24,ChildBirthCertificate,ChildBirthCertificate9,PO_InfTrans24,Was infant transferred within 24 hrs of delivery?,Legal Values,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/was_infant_transferred_within_24_hours,,,(blank),,
107,ChildBirthCertificate9.PO_InfTrans24,ChildBirthCertificate,ChildBirthCertificate9,PO_InfTrans24,Was infant transferred within 24 hrs of delivery?,Legal Values,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/was_infant_transferred_within_24_hours,1,1 - Yes,Yes,,
108,ChildBirthCertificate9.PO_InfTrans24,ChildBirthCertificate,ChildBirthCertificate9,PO_InfTrans24,Was infant transferred within 24 hrs of delivery?,Legal Values,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/was_infant_transferred_within_24_hours,2,2 - No,No,,
109,ChildBirthCertificate9.PO_InfTrans24,ChildBirthCertificate,ChildBirthCertificate9,PO_InfTrans24,Was infant transferred within 24 hrs of delivery?,Legal Values,Unknown,birth_certificate_infant_fetal_section/biometrics_and_demographics/was_infant_transferred_within_24_hours,9,9 - Not specified,Not Specified,,
110,ChildBirthCertificate9.PO_injury,ChildBirthCertificate,ChildBirthCertificate9,PO_injury,"Significant birth injury (skeletal fracture(s), 
peripheral nerve injury, and/or soft tissue/solid 
organ hemorrhage which requires intervention)",Checkbox,Boolean,birth_certificate_infant_fetal_section/abnormal_conditions_of_newborn,"Significant birth injury (skeletal fracture(s), 
peripheral nerve injury, and/or soft tissue/solid 
organ hemorrhage which requires intervention)",,"Significant birth injury (skeletal fracture(s), peripheral nerve injury and or soft tissue or solid organ hemorrhage which requires intervention)",,
111,ChildBirthCertificate9.PO_LabTrial,ChildBirthCertificate,ChildBirthCertificate9,PO_LabTrial,"If Cesarean, was a trial of labor attempted?",Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/if_cesarean_was_trial_of_labor_attempted,,,(blank),,
112,ChildBirthCertificate9.PO_LabTrial,ChildBirthCertificate,ChildBirthCertificate9,PO_LabTrial,"If Cesarean, was a trial of labor attempted?",Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/if_cesarean_was_trial_of_labor_attempted,1,1 - Yes,Yes,,
113,ChildBirthCertificate9.PO_LabTrial,ChildBirthCertificate,ChildBirthCertificate9,PO_LabTrial,"If Cesarean, was a trial of labor attempted?",Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/if_cesarean_was_trial_of_labor_attempted,2,2 - No,No,,
114,ChildBirthCertificate9.PO_LabTrial,ChildBirthCertificate,ChildBirthCertificate9,PO_LabTrial,"If Cesarean, was a trial of labor attempted?",Legal Values,Unknown,birth_certificate_infant_fetal_section/method_of_delivery/if_cesarean_was_trial_of_labor_attempted,9,9 - Not specified,Not Specified,,
115,ChildBirthCertificate9.PO_LocCertNo,ChildBirthCertificate,ChildBirthCertificate9,PO_LocCertNo,Local file no.,Text,Text,birth_certificate_infant_fetal_section/record_identification/local_file_number,,,,,
116,ChildBirthCertificate9.PO_Multigest,ChildBirthCertificate,ChildBirthCertificate9,PO_Multigest,Multiple gestation,Checkbox,Boolean,birth_certificate_infant_fetal_section/is_multiple_gestation ,,,,,
117,ChildBirthCertificate9.PO_Name1,ChildBirthCertificate,ChildBirthCertificate9,PO_Name1,Mother's name,Text,Text,,,,,,
118,ChildBirthCertificate9.PO_NICU,ChildBirthCertificate,ChildBirthCertificate9,PO_NICU,NICU admission,Checkbox,Boolean,birth_certificate_infant_fetal_section/abnormal_conditions_of_newborn,NICU admission,,NICU admission,,
119,ChildBirthCertificate9.PO_NoAbCond,ChildBirthCertificate,ChildBirthCertificate9,PO_NoAbCond,None of the above,Checkbox,Boolean,birth_certificate_infant_fetal_section/abnormal_conditions_of_newborn,None of the above,,None of the above,,
